time;power(kw);accuracy(sec)
;6360.896959;
;6197.44799;
;6100.925985;
;5992.793251;
;5867.772779;
;5777.320096;
;5751.177284;
;5753.20727;
;5237.26855;
;5601.688909;
;5492.357202;
;5478.258019;
;5437.665512;
;5473.790216;
;5450.98907;
;5449.124916;
;5485.838803;
;5462.762924;
;5435.198787;
;5425.455088;
;5329.230558;
;5375.189986;
;5467.977582;
;5487.07162;
;5517.108285;
;5547.766935;
;5645.323556;
;5692.235649;
;5924.499099;
;6077.70734;
;6376.868196;
;6744.296673;
;7499.982992;
;8100.038807;
;8662.131002;
;9181.244784;
;10017.00356;
;10839.34589;
;11858.93548;
;12639.22597;
;13204.97994;
;13517.63111;
;13620.33914;
;13800.86004;
;13650.04387;
;13629.4866;
;13200.82116;
;13395.42349;
;13509.442;
;13661.83011;
;13890.2416;
;13944.83127;
;13947.08675;
;13888.50023;
;13814.94095;
;13669.70117;
;13196.4137;
;12892.83068;
;12511.45773;
;12512.40253;
;13023.16596;
;13289.88512;
;13430.54326;
;13350.10159;
;13344.91193;
;13280.85545;
;12904.60008;
;12858.25935;
;12586.52293;
;12583.57572;
;12393.45028;
;12055.01089;
;11338.33268;
;10663.90002;
;9938.636275;
;9413.618886;
;8799.904402;
;8340.065234;
;8072.608208;
;7799.49445;
;7596.086786;
;7475.393831;
;7355.187729;
;7293.197559;
